Site;Habitat;Substrate;Station;Date;Time;Depth;Sampling_depth;Latitude;Longitude;Motu;Project;best_identity_database;Assignement_Level;Scientific_Name;mean_pcr_count_reads;SR
IleDesPins;Summit500;Seamount;SM00407;07/06/2019;16:50;469;465;-22.38546667;167.4148167;Motu538;Seamount;1;species;Beryx splendens;13343;1
IleDesPins;Summit500;Seamount;SM00407;07/06/2019;16:50;469;465;-22.38546667;167.4148167;Motu005;Seamount;0.968253968254;genus;Beryx;29.75;1
IleDesPins;Summit500;Seamount;SM00407;07/06/2019;16:50;469;465;-22.38546667;167.4148167;Motu561;Seamount;0.969230769231;genus;Beryx;1.41666666666667;1
IleDesPins;Summit500;Seamount;SM00401;08/06/2019;08:57;484;480;-22.3744;167.40445;Motu313;Seamount;0.920634920635;genus;Diaphus;11.1666666666667;1
IleDesPins;Summit500;Seamount;SM00401;08/06/2019;08:57;484;480;-22.3744;167.40445;Motu445;Seamount;0.888888888889;family;Myctophidae;3.95833333333333;1
IleDesPins;Summit500;Seamount;SM00401;08/06/2019;08:57;484;480;-22.3744;167.40445;Motu319;Seamount;0.904761904762;genus;Diaphus;680.166666666667;1
IleDesPins;Summit500;Seamount;SM00401;08/06/2019;08:57;484;480;-22.3744;167.40445;Motu320;Seamount;0.888888888889;family;Myctophidae;7.20833333333333;1
IleDesPins;Summit500;Seamount;SM00401;08/06/2019;08:57;484;480;-22.3744;167.40445;Motu317;Seamount;0.936507936508;genus;Diaphus;3585.91666666667;1
IleDesPins;Summit500;Seamount;SM00401;08/06/2019;08:57;484;480;-22.3744;167.40445;Motu332;Seamount;1;species;Neoscopelus microchir;11322.4583333333;1
IleDesPins;Summit500;Seamount;SM00401;08/06/2019;08:57;484;480;-22.3744;167.40445;Motu331;Seamount;0.969230769231;genus;Neoscopelus;7.41666666666667;1
IleDesPins;Summit500;Seamount;SM00401;08/06/2019;08:57;484;480;-22.3744;167.40445;Motu496;Seamount;0.838709677419;order;Myctophiformes;10.9166666666667;1
IleDesPins;Summit500;Seamount;SM00401;08/06/2019;08:57;484;480;-22.3744;167.40445;Motu049;Seamount;0.983870967742;genus;Diaphus;46.2916666666667;1
IleDesPins;Summit500;Seamount;SM00401;08/06/2019;08:57;484;480;-22.3744;167.40445;Motu444;Seamount;1;species;Diaphus chrysorhynchus;26866.6666666667;1
IleDesPins;Summit500;Seamount;SM00401;08/06/2019;08:57;484;480;-22.3744;167.40445;Motu060;Seamount;0.91935483871;genus;Diaphus;2154.75;1
IleDesPins;Summit500;Seamount;SM00401;08/06/2019;08:57;484;480;-22.3744;167.40445;Motu086;Seamount;0.8125;class;Actinopteri;3973.75;1
IleDesPins;Summit500;Seamount;SM00401;08/06/2019;08:57;484;480;-22.3744;167.40445;Motu056;Seamount;0.967741935484;genus;Diaphus;697.666666666667;1
IleDesPins;Summit500;Seamount;SM00401;08/06/2019;08:57;484;480;-22.3744;167.40445;Motu005;Seamount;0.968253968254;genus;Beryx;9.75;1
IleDesPins;Summit500;Seamount;SM00401;08/06/2019;08:57;484;480;-22.3744;167.40445;Motu538;Seamount;1;species;Beryx splendens;1418.08333333333;1
IleDesPins;Summit500;Seamount;SM00402;08/06/2019;07:55;486;480;-22.38086667;167.3998;Motu313;Seamount;0.920634920635;genus;Diaphus;111;1
IleDesPins;Summit500;Seamount;SM00402;08/06/2019;07:55;486;480;-22.38086667;167.3998;Motu445;Seamount;0.888888888889;family;Myctophidae;32.1666666666667;1
IleDesPins;Summit500;Seamount;SM00402;08/06/2019;07:55;486;480;-22.38086667;167.3998;Motu058;Seamount;0.903225806452;genus;Diaphus;1.25;1
IleDesPins;Summit500;Seamount;SM00402;08/06/2019;07:55;486;480;-22.38086667;167.3998;Motu319;Seamount;0.904761904762;genus;Diaphus;6948.33333333333;1
IleDesPins;Summit500;Seamount;SM00402;08/06/2019;07:55;486;480;-22.38086667;167.3998;Motu320;Seamount;0.888888888889;family;Myctophidae;37.0833333333333;1
IleDesPins;Summit500;Seamount;SM00402;08/06/2019;07:55;486;480;-22.38086667;167.3998;Motu222;Seamount;1;species;Auxis rochei;55.3333333333333;1
IleDesPins;Pelagic;None;SM00411_150;08/06/2019;12:49;1262;150;-22.3566833;167.4482167;Motu277;Seamount;0.818181818182;class;Actinopteri;82.0833333333333;1
IleDesPins;Pelagic;None;SM00411_150;08/06/2019;12:49;1262;150;-22.3566833;167.4482167;Motu225;Seamount;0.90625;genus;Lethrinus;296.416666666667;1
IleDesPins;Pelagic;None;SM00411_150;08/06/2019;12:49;1262;150;-22.3566833;167.4482167;Motu205;Seamount;1;species;Lutjanus russellii;7.83333333333333;1
IleDesPins;Pelagic;None;SM00411_150;08/06/2019;12:49;1262;150;-22.3566833;167.4482167;Motu499;Seamount;0.9375;genus;Lutjanus;1.66666666666667;1
IleDesPins;Pelagic;None;SM00411_150;08/06/2019;12:49;1262;150;-22.3566833;167.4482167;Motu215;Seamount;0.984126984127;genus;Lutjanus;815.666666666667;1
IleDesPins;Pelagic;None;SM00411_150;08/06/2019;12:49;1262;150;-22.3566833;167.4482167;Motu445;Seamount;0.888888888889;family;Myctophidae;671.75;1
IleDesPins;Pelagic;None;SM00411_150;08/06/2019;12:49;1262;150;-22.3566833;167.4482167;Motu236;Seamount;0.967741935484;genus;Myctophum;6.83333333333333;1
IleDesPins;Pelagic;None;SM00411_150;08/06/2019;12:49;1262;150;-22.3566833;167.4482167;Motu412;Seamount;0.953125;genus;Naso;117.083333333333;1
Antigonia;Summit50;Seamount;SM00306;05/06/2019;16:20;60;53;-23.43681667;168.0822333;Motu391;Seamount;0.833333333333;order;Centrarchiformes;2755.33333333333;1
Antigonia;Summit50;Seamount;SM00306;05/06/2019;16:20;60;53;-23.43681667;168.0822333;Motu393;Seamount;0.967741935484;genus;Chaetodontoplus;1633.5;1
Antigonia;Summit50;Seamount;SM00306;05/06/2019;16:20;60;53;-23.43681667;168.0822333;Motu552;Seamount;0.983870967742;genus;Hoplolatilus;6320.41666666667;1
Antigonia;Summit50;Seamount;SM00306;05/06/2019;16:20;60;53;-23.43681667;168.0822333;Motu362;Seamount;0.859375;family;Labridae;3956.66666666667;1
Antigonia;Summit50;Seamount;SM00306;05/06/2019;16:20;60;53;-23.43681667;168.0822333;Motu471;Seamount;0.951612903226;genus;Hoplolatilus;1.66666666666667;1
Antigonia;Summit50;Seamount;SM00306;05/06/2019;16:20;60;53;-23.43681667;168.0822333;Motu330;Seamount;0.953125;genus;Oxycheilinus;6800;1
Antigonia;Summit50;Seamount;SM00306;05/06/2019;16:20;60;53;-23.43681667;168.0822333;Motu341;Seamount;0.923076923077;genus;Parupeneus;8.75;1
Antigonia;Summit50;Seamount;SM00306;05/06/2019;16:20;60;53;-23.43681667;168.0822333;Motu340;Seamount;0.952380952381;genus;Parupeneus;1601.33333333333;1
Antigonia;Summit50;Seamount;SM00306;05/06/2019;16:20;60;53;-23.43681667;168.0822333;Motu201;Seamount;0.907692307692;genus;Carangoides;56.25;1
Antigonia;Pelagic;None;SM00311_500;12/06/2019;07:02;1238;500;-23.4340333;168.17055;Motu212;Seamount;0.983870967742;genus;Thunnus;737.722222222222;1
Antigonia;Pelagic;None;SM00311_500;12/06/2019;07:02;1238;500;-23.4340333;168.17055;Motu430;Seamount;0.954545454545;genus;Lethrinus;878.791666666667;1
Antigonia;Pelagic;None;SM00311_500;12/06/2019;07:02;1238;500;-23.4340333;168.17055;Motu060;Seamount;0.91935483871;genus;Diaphus;1873.125;1
Antigonia;Pelagic;None;SM00311_500;12/06/2019;07:02;1238;500;-23.4340333;168.17055;Motu240;Seamount;0.903225806452;genus;Myctophum;156.333333333333;1
Antigonia;Pelagic;None;SM00311_500;12/06/2019;07:02;1238;500;-23.4340333;168.17055;Motu053;Seamount;0.952380952381;genus;Diaphus;2.83333333333333;1
KaimonMaru;Summit250;Seamount;SM00702;17/06/2019;10:27;312;304;-24.72156667;168.1165667;Motu262;Seamount;0.935483870968;genus;Nannobrachium;56;1
KaimonMaru;Summit250;Seamount;SM00702;17/06/2019;10:27;312;304;-24.72156667;168.1165667;Motu202;Seamount;1;species;Eubalichthys mosaicus;5.25;1
KaimonMaru;Summit250;Seamount;SM00702;17/06/2019;10:27;312;304;-24.72156667;168.1165667;Motu142;Seamount;0.859375;family;Myctophidae;15865.9166666667;1
KaimonMaru;Summit250;Seamount;SM00702;17/06/2019;10:27;312;304;-24.72156667;168.1165667;Motu313;Seamount;0.920634920635;genus;Diaphus;322.416666666667;1
KaimonMaru;Summit250;Seamount;SM00702;17/06/2019;10:27;312;304;-24.72156667;168.1165667;Motu443;Seamount;0.859375;family;Argentinidae;472.166666666667;1
KaimonMaru;Summit250;Seamount;SM00702;17/06/2019;10:27;312;304;-24.72156667;168.1165667;Motu467;Seamount;1;species;Scopelarchus sp. ausc01;550.416666666667;1
KaimonMaru;Summit250;Seamount;SM00702;17/06/2019;10:27;312;304;-24.72156667;168.1165667;Motu046;Seamount;0.825396825397;order;Myctophiformes;8900;1
KaimonMaru;Summit250;Seamount;SM00702;17/06/2019;10:27;312;304;-24.72156667;168.1165667;Motu064;Seamount;0.984375;genus;Diogenichthys;3673.5;1
KaimonMaru;Summit250;Seamount;SM00702;17/06/2019;10:27;312;304;-24.72156667;168.1165667;Motu474;Seamount;0.91935483871;genus;Chauliodus;25.25;1
KaimonMaru;Summit250;Seamount;SM00702;17/06/2019;10:27;312;304;-24.72156667;168.1165667;Motu182;Seamount;0.969696969697;genus;Schedophilus;2009.16666666667;1
KaimonMaru;Summit250;Seamount;SM00710;16/06/2019;15:49;263;255;-24.7416;168.1592333;Motu138;Seamount;0.890625;family;Myctophidae;13813.0555555556;1
KaimonMaru;Summit250;Seamount;SM00710;16/06/2019;15:49;263;255;-24.7416;168.1592333;Motu139;Seamount;0.903225806452;genus;Ceratoscopelus;1.5;1
KaimonMaru;Summit250;Seamount;SM00710;16/06/2019;15:49;263;255;-24.7416;168.1592333;Motu053;Seamount;0.952380952381;genus;Diaphus;7005.95833333333;1
KaimonMaru;Summit250;Seamount;SM00710;16/06/2019;15:49;263;255;-24.7416;168.1592333;Motu218;Seamount;1;species;Ariomma lurida;1838.16666666667;1
KaimonMaru;Summit250;Seamount;SM00710;16/06/2019;15:49;263;255;-24.7416;168.1592333;Motu051;Seamount;0.936507936508;genus;Diaphus;1;1
KaimonMaru;Summit250;Seamount;SM00710;16/06/2019;15:49;263;255;-24.7416;168.1592333;Motu087;Seamount;0.934426229508;genus;Hime;1621.16666666667;1
KaimonMaru;Summit250;Seamount;SM00710;16/06/2019;15:49;263;255;-24.7416;168.1592333;Motu115;Seamount;0.835820895522;order;Pempheriformes;7586.625;1
KaimonMaru;Summit250;Seamount;SM00710;16/06/2019;15:49;263;255;-24.7416;168.1592333;Motu099;Seamount;0.805970149254;order;Centrarchiformes;651.958333333333;1
KaimonMaru;Summit250;Seamount;SM00710;16/06/2019;15:49;263;255;-24.7416;168.1592333;Motu313;Seamount;0.920634920635;genus;Diaphus;256.416666666667;1
KaimonMaru;Summit250;Seamount;SM00710;16/06/2019;15:49;263;255;-24.7416;168.1592333;Motu064;Seamount;0.984375;genus;Diogenichthys;1536.75;1
KaimonMaru;Summit250;Seamount;SM00710;16/06/2019;15:49;263;255;-24.7416;168.1592333;Motu105;Seamount;0.863636363636;family;Gobiidae;13269.5;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu421;Seamount;1;species;Emmelichthys struhsakeri;675.104166666667;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu365;Seamount;0.80303030303;order;Gobiiformes;458.340909090909;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu313;Seamount;0.920634920635;genus;Diaphus;1.08333333333333;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu244;Seamount;0.9375;genus;Ostorhinchus;174.604166666667;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu427;Seamount;0.890625;family;Acanthuridae;553.559523809524;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu018;Seamount;0.830769230769;order;Gobiiformes;589.083333333333;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu373;Seamount;0.939393939394;genus;Chromis;1.75;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu091;Seamount;0.80303030303;order;Gobiiformes;210;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu212;Seamount;0.983870967742;genus;Thunnus;420;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu445;Seamount;0.888888888889;family;Myctophidae;290.625;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu021;Seamount;0.846153846154;order;Mugiliformes;876.472222222222;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu367;Seamount;1;species;Scarus ghobban;437.625;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu260;Seamount;0.859375;family;Myctophidae;227.383333333333;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu151;Seamount;0.838235294118;order;Perciformes;385.9375;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu375;Seamount;0.925373134328;genus;Chromis;325.875;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu368;Seamount;1;species;Scarus schlegeli;2.45833333333333;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu058;Seamount;0.903225806452;genus;Diaphus;425.333333333333;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu012;Seamount;0.846153846154;order;Gobiiformes;504.619047619048;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu563;Seamount;1;species;Galeocerdo cuvier;87.3055555555556;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu353;Seamount;0.835820895522;order;Labriformes;102.666666666667;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu464;Seamount;0.815384615385;order;Myctophiformes;1528.41666666667;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu293;Seamount;0.818181818182;order;Labriformes;206.541666666667;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu346;Seamount;1;species;Parupeneus heptacanthus;2.08333333333333;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu345;Seamount;0.968253968254;genus;Parupeneus;570.666666666667;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu243;Seamount;1;species;Ostorhinchus fukuii;109.520833333333;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu526;Seamount;0.878787878788;family;Serranidae;256.25;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu034;Seamount;0.815384615385;order;Perciformes;7.20833333333333;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu366;Seamount;1;species;Chlorurus sordidus;149.25;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu049;Seamount;0.983870967742;genus;Diaphus;2.66666666666667;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu444;Seamount;1;species;Diaphus chrysorhynchus;272.833333333333;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu158;Seamount;1;species;Platax orbicularis;4.16666666666667;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu263;Seamount;0.838235294118;order;Gobiiformes;122.444444444444;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu330;Seamount;0.953125;genus;Oxycheilinus;58.9166666666667;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu316;Seamount;0.920634920635;genus;Diaphus;159.416666666667;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu082;Seamount;0.909090909091;genus;Sargocentron;390.277777777778;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu506;Seamount;0.983870967742;genus;Gymnothorax;274.333333333333;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu401;Seamount;0.921875;genus;Caesio;166.25;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu044;Seamount;0.90625;genus;Myripristis;151.694444444444;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu477;Seamount;0.890625;family;Stomiidae;2.625;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu164;Seamount;0.953125;genus;Cephalopholis;173.708333333333;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu554;Seamount;0.903225806452;genus;Hoplolatilus;703.444444444444;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu403;Seamount;0.921875;genus;Caesio;149.25;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu096;Seamount;0.968253968254;genus;Benthosema;17.9166666666667;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu224;Seamount;1;species;Katsuwonus pelamis;51.5;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu207;Seamount;1;species;Lutjanus viridis;52.0833333333333;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu060;Seamount;0.91935483871;genus;Diaphus;73;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu547;Seamount;0.830769230769;order;Kurtiformes;212.666666666667;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu328;Seamount;0.830769230769;order;Labriformes;340.75;1
Noumea;DeepSlope;Slope;SM00109;06/04/2019;11:05;122;NA;-22.0685;165.97032;Motu472;Seamount;0.870967741935;family;Malacanthidae;1.66666666666667;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu212;Seamount;0.983870967742;genus;Thunnus;2313.63636363636;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu260;Seamount;0.859375;family;Myctophidae;416.35;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu046;Seamount;0.825396825397;order;Myctophiformes;1010.79166666667;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu357;Seamount;0.89552238806;family;Mullidae;11435.6666666667;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu548;Seamount;0.808823529412;order;Synbranchiformes;3833.08333333333;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu243;Seamount;1;species;Ostorhinchus fukuii;1350.5;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu007;Seamount;0.805970149254;order;Synbranchiformes;1.25;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu060;Seamount;0.91935483871;genus;Diaphus;874.916666666667;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu049;Seamount;0.983870967742;genus;Diaphus;66.8333333333333;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu148;Seamount;1;species;Acanthocybium solandri;2908.95833333333;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu444;Seamount;1;species;Diaphus chrysorhynchus;440.783333333333;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu018;Seamount;0.830769230769;order;Gobiiformes;369.416666666667;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu159;Seamount;0.84375;order;Labriformes;3857.29166666667;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu446;Seamount;0.846153846154;order;Gobiiformes;50.7916666666667;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu213;Seamount;0.936507936508;genus;Thunnus;1.70833333333333;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu147;Seamount;0.952380952381;genus;Acanthocybium;1.54166666666667;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu365;Seamount;0.80303030303;order;Gobiiformes;1721.61111111111;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu531;Seamount;0.921875;genus;Epinephelus;316.583333333333;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu547;Seamount;0.830769230769;order;Kurtiformes;116.5;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu445;Seamount;0.888888888889;family;Myctophidae;1277.60416666667;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu151;Seamount;0.838235294118;order;Perciformes;1225.2;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu448;Seamount;0.873015873016;family;Paralepididae;1522.55555555556;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu522;Seamount;1;species;Sphyrna lewini;16.7083333333333;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu346;Seamount;1;species;Parupeneus heptacanthus;1008.58333333333;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu297;Seamount;0.873015873016;family;Pentacerotidae;6.66666666666667;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu096;Seamount;0.968253968254;genus;Benthosema;3.04166666666667;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu427;Seamount;0.890625;family;Acanthuridae;237.916666666667;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu248;Seamount;0.838235294118;order;Kurtiformes;288.916666666667;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu552;Seamount;0.983870967742;genus;Hoplolatilus;5641.16666666667;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu082;Seamount;0.909090909091;genus;Sargocentron;3091.16666666667;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu028;Seamount;0.805970149254;order;Perciformes;33.25;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu288;Seamount;0.805970149254;order;Mugiliformes;161.75;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu330;Seamount;0.953125;genus;Oxycheilinus;3046.83333333333;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu289;Seamount;0.838709677419;order;Gobiiformes;3155.33333333333;1
Noumea;DeepSlope;Slope;SM00101;06/04/2019;08:14;143;NA;-22.1632167;166.0911167;Motu353;Seamount;0.835820895522;order;Labriformes;173;1
PoyaNepoui;Pelagic;None;SM00211-250;09/04/2019;;1087;250;-21.45376;164.9077;Motu092;Seamount;0.950819672131;genus;Merluccius;68.6666666666667;1
Noumea;Pelagic;None;SM00111-500;05/04/2019;14:25;sondeur éteint;500;-22.20294;165.92043;Motu316;Seamount;0.920634920635;genus;Diaphus;376.583333333333;1
